id,name,rating,address,city,lat,long
345,comebuy-drinks-redwood-city,4,2074 Broadway,Redwood City,374.868,-12222766
346,teaspoon-redwood-city,4,2361 Broadway St,Redwood City,374.861.601.263.273,-122230740152299
349,bare-bowls-palo-alto,4,530 Emerson St,Palo Alto,3.744.413,-12216237
354,fraiche-palo-alto-2,4,200 Hamilton Ave,Palo Alto,374.438.754.674.247,-122161595821381
358,ohana-express-redwood-city-2,4,640 Woodside Rd,Redwood City,3.746.868,-122223999999999
359,yogurtland-palo-alto,4,494 University Ave,Palo Alto,374.480.657,-122159221
367,froyola-redwood-city,4,2206 Broadway St,Redwood City,374.867.482.944.358,-122229360103705
373,green-leaf-asian-bistro-and-cafe-redwood-city-2,4,865 Middlefield Rd,Redwood City,374.857.502.210.641,-122228834925786
376,cocohodo-sunnyvale-2,4,1082 E El Camino Real,Sunnyvale,373.517.264.451.999,-122002505609904
388,bobabia-san-mateo,4,271 - 273 Baldwin Ave,San Mateo,375.671.987.999.999,-1223253964
389,happy-lemon-burlingame-4,4,1419 Burlingame Ave,Burlingame,375.773.026,-1223486125
390,eggettes-south-san-francisco,4,639 El Camino Real,South San Francisco,376.492.265,-122430214299999
391,tpumps-burlingame,4,1118 Burlingame Ave,Burlingame,375.794.379.623.736,-122345903012389
392,teaspoon-san-mateo,4,128 E 3rd Ave,San Mateo,37.564.318,-122323843099999
393,cha-express-san-mateo,4,212 E 3rd Ave,San Mateo,375.649.712.999.999,-1223228903
394,search-tea-millbrae-5,4,105 Park Blvd,Millbrae,3.761.218,-122404
395,tea-world-pacifica,4,90 Eureka Sq,Pacifica,376.337.492,-1224887216
399,eggettes-millbrae-2,4,979 Broadway,Millbrae,376.048.409.390.981,-122397278312931
403,bambu-san-mateo-2,4,153 South B St,San Mateo,375.665.365,-1223232678
404,eggettes-san-mateo,4,47 S B St,San Mateo,375.674.099.999.999,-122324069999999
406,tpumps-foster-city,4,985 E Hillsdale Blvd,Foster City,375.573.531.403.401,-122274742340384
407,creme-brewlee-san-mateo-2,4,2948 S Norfolk St,San Mateo,375.448.989.862.154,-12228502356257
411,ya-ua-yogurt-and-boba-tea-belmont-2,4,1090 Alameda De Las Pulgas,Belmont,375.102.232,-122293820799999
416,icicles-san-mateo,4,222 E 3rd Ave,San Mateo,375.652.198.999.999,-1223225
421,moo-moo-yogurt-foster-city,4,969F Edgewater Blvd,Foster City,375.441.112.400.917,-122270671007271
422,clear-optometry-san-mateo,4,138 E 3rd Ave,San Mateo,375.643,-12232361
424,cream-san-mateo,4,134 S B St,San Mateo,375.665.107.999.999,-1223237287
425,poke-island-creasian-kitchen-san-mateo,4,43 S B St,San Mateo,375.674.055,-122324276099999
429,mini-coffee-san-mateo-2,4,800 S B St,San Mateo,3.756.167,-12231891
431,ramen-dojo-san-mateo,4,805 S B St,San Mateo,375.621.429,-1223185051
435,peace-love-and-boba-vacaville,4,3083 Alamo Dr,Vacaville,383.353.873.467.452,-121954629868269
436,halo-halo-bar-and-boba-station-suisun-city,4,303 Lawler Ctr Dr,Suisun City,3.824.225,-12201803
438,tutti-frutti-fairfield-2,4,3334 N Texas St,Fairfield,382.890.102.925.701,-122033686637877
439,sharetea-concord-3,4,1850 Mount Diablo St,Concord,379.761.596.024.036,-122033636346459
440,i-tea-pittsburg,4,2121 Loveridge Rd,Pittsburg,380.108.707.398.176,-121868887022138
444,mandro-teahouse-davis,4,1260 Lake Blvd,Davis,385.541.889,-1217869827
447,cafe-tapioca-hercules,4,1581 Sycamore Ave,Hercules,3.800.996,-122270604
448,pho-saigon-no-1-vietnamese-restaurant-fairfield-2,4,1972 N Texas St,Fairfield,3.826.504,-122033139999999
449,ontap-davis,4,825 Russell Blvd,Davis,385.465.253.999.999,-1217607466
450,t4-antioch-12,4,4532 Lone Tree Way,Antioch,379.659.262.678.636,-121780671279596
454,t4-san-pablo-3,4,13350 San Pablo Ave,San Pablo,37.954.766.898.894,-122334166861144
462,t4-davis-3,4,132 E St,Davis,385.430.607.163.953,-121740498058498
463,bangkok-paradise-fairfield,4,3344 N Texas St,Fairfield,3.829.174,-12203293
466,the-old-teahouse-davis-3,4,825 Russell Blvd,Davis,385.465.253.999.999,-1217607466
472,yumygurt-pinole,4,2701 Pinole Valley Rd,Pinole,379.952.735.900.879,-122285331726074
477,ice-monster-walnut-creek,4,2230 Oak Grove Rd,Walnut Creek,379.297.795.146.704,-122016731053591
481,cool-tea-bar-danville-4,4,251 Hartz Ave,Danville,378.227.538.431.367,-122001181084905
486,panache-caffe-lafayette,4,3653 Mt Diablo Blvd,Lafayette,378.906.068,-122127733299999
487,coco-swirl-pleasant-hill,4,35 Crescent Dr,Pleasant Hill,3.794.665,-122061619999999
489,hello-pho-concord,4,1701 Monument Blvd,Concord,3.795.516,-12204158
490,harvest-house-concord,4,2395 Monument Blvd,Concord,379.603.599.999.999,-12203578
500,pho-huynh-hiep-6-kevins-noodle-house-walnut-creek,4,2034 N Main St,Walnut Creek,379.079.856.872.558,-122064300537108
504,yogurtland-pleasant-hill,4,2390 Monument Blvd,Pleasant Hill,379.448.334.310.086,-122056119731669
506,tutti-frutti-montclair-oakland,4,2066 Mountain Blvd,Oakland,378.261.642,-122209205599999
509,lv-vietnamese-pho-and-sandwiches-vallejo,4,2621 Springs Rd,Vallejo,381.054.840.087.891,-122207710266113
510,korea-house-concord,4,1835 Willow Pass Rd,Concord,3.797.514,-122038739999999
512,lulus-kitchen-concord,4,1657 Willow Pass Rd,Concord,379.728.762.316.744,-122043781183031
516,viet-nam-noodle-house-antioch-4,4,3676 Delta Fair Blvd,Antioch,380.040.780.947.741,-121844287128215
519,ten-ren-tea-co-richmond,4,3288 Pierce St,Richmond,378.987.543.089.592,-122307458450512
534,sharetea-san-ramon,4,2441 San Ramon Valley Blvd,San Ramon,377.747.421.264.647,-121977684020996
537,8-twelve-oriental-market-san-leandro,4,596 E 14th St,San Leandro,377.310.477,-1221605656
538,polaris-ice-cream-rolls-hayward,4,595 Southland Mall,Hayward,37.652.548.372.651,-122106453901274
541,creative-sips-san-jose,4,,San Jose,373.136.978.149.414,-121946624755858
